ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
2,../ground/plateField64x128.x,0,0,0,0,0,0,1,meshmix2
3,../collision_wall/collision_wall.x,0,1.5,-14,0,90,0,1,meshmix2
4,../collision_wall/collision_wall.x,-8,1.5,0,0,0,0,1,meshmix2
5,../collision_wall/collision_wall.x,8,1.5,8,0,0,0,1,meshmix2
6,../collision_wall/collision_wall.x,0,1.5,16,0,90,0,1,meshmix2
19,../cubeWood/cube_wood.x,-3,0,-7,0,0,0,1,normal
20,../cubeWood/cube_wood.x,3,0,-7,0,0,0,1,normal
21,../cubeWood/cube_wood.x,-3,0,0,0,0,0,1,normal
22,../cubeWood/cube_wood.x,3,0,0,0,0,0,1,normal
23,../cubeWood/cube_wood.x,-3,0,7,0,0,0,1,normal
24,../cubeWood/cube_wood.x,3,0,7,0,0,0,1,normal
26,../SkySphere/SkySphere.blend.x,0,0.01,0,0,0,0,1,normal
27,../tree2/lemonTree.x,11,0,21,0,0,0,1,normal
201,../fence.x,-11,0.5,-30,0,0,0,1,normal
202,../fence.x,-3,0.5,-30,0,0,0,1,normal
203,../fence.x,5,0.5,-30,0,0,0,1,normal
204,../fence.x,13,0.5,-30,0,0,0,1,normal
205,../fence.x,-11,0.5,30,0,0,0,1,normal
206,../fence.x,-3,0.5,30,0,0,0,1,normal
207,../fence.x,5,0.5,30,0,0,0,1,normal
208,../fence.x,13,0.5,30,0,0,0,1,normal
209,../fence.x,-15,0.5,-26,0,90,0,1,normal
210,../fence.x,-15,0.5,-18,0,90,0,1,normal
211,../fence.x,-15,0.5,-10,0,90,0,1,normal
212,../fence.x,-15,0.5,-2,0,90,0,1,normal
213,../fence.x,-15,0.5,6,0,90,0,1,normal
214,../fence.x,-15,0.5,14,0,90,0,1,normal
215,../fence.x,-15,0.5,22,0,90,0,1,normal
216,../fence.x,-15,0.5,30,0,90,0,1,normal
217,../fence.x,15,0.5,-26,0,90,0,1,normal
218,../fence.x,15,0.5,-18,0,90,0,1,normal
219,../fence.x,15,0.5,-10,0,90,0,1,normal
220,../fence.x,15,0.5,-2,0,90,0,1,normal
221,../fence.x,15,0.5,6,0,90,0,1,normal
222,../fence.x,15,0.5,14,0,90,0,1,normal
223,../fence.x,15,0.5,22,0,90,0,1,normal
224,../fence.x,15,0.5,30,0,90,0,1,normal
