ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
2,../plateField256x512.x,0,0,0,0,0,0,1,normal
903,../collision_wall.x,-13.5,1.5,16,0,0,0,1,normal
904,../collision_wall.x,13.5,1.51,12,0,0,0,1,normal
905,../collision_wall.x,-6,1.52,1.0,0,90,0,1,normal
906,../collision_wall.x,6,1.53,-1.0,0,90,0,1,normal
907,../collision_wall.x,-11.5,1.54,-10,0,0,0,1,normal
908,../collision_wall.x,11.5,1.55,-14,0,0,0,1,normal
909,../collision_wall.x,-1.5,1.56,20,0,90,0,1,normal
910,../collision_wall.x,2.5,1.57,-20,0,0,0,1,normal
913,../collision_moving_platform.x,-0.5,0.82,0,0,0,0,1,normal
914,../collision_moving_platform.x,0.5,0.83,0,0,0,0,1,normal
919,../cubeWood/cube_wood.x,-14.5,1,20,0,0,0,1,normal
920,../cubeWood/cube_wood.x,-5,1.01,19.0,0,0,0,1,normal
921,../cubeWood/cube_wood.x,0.5,1.02,10,0,0,0,1,normal
922,../cubeWood/cube_wood.x,2.5,1.03,-10,0,0,0,1,normal
923,../cubeWood/cube_wood.x,7,1.04,-19.0,0,0,0,1,normal
924,../cubeWood/cube_wood.x,14.5,1.05,-20,0,0,0,1,normal
926,..\SkySphere\SkySphere.blend.x, 0,0.01,0, 0, 0, 0, 1, normal
201,../fence.x,-11,0.5,-30,0,0,0,1,normal
202,../fence.x,-3,0.5,-30,0,0,0,1,normal
203,../fence.x,5,0.5,-30,0,0,0,1,normal
204,../fence.x,13,0.5,-30,0,0,0,1,normal
205,../fence.x,-11,0.5,30,0,0,0,1,normal
206,../fence.x,-3,0.5,30,0,0,0,1,normal
207,../fence.x,5,0.5,30,0,0,0,1,normal
208,../fence.x,13,0.5,30,0,0,0,1,normal
209,../fence.x,-15,0.5,-26,0,90,0,1,normal
210,../fence.x,-15,0.5,-18,0,90,0,1,normal
211,../fence.x,-15,0.5,-10,0,90,0,1,normal
212,../fence.x,-15,0.5,-2,0,90,0,1,normal
213,../fence.x,-15,0.5,6,0,90,0,1,normal
214,../fence.x,-15,0.5,14,0,90,0,1,normal
215,../fence.x,-15,0.5,22,0,90,0,1,normal
216,../fence.x,-15,0.5,30,0,90,0,1,normal
217,../fence.x,15,0.5,-26,0,90,0,1,normal
218,../fence.x,15,0.5,-18,0,90,0,1,normal
219,../fence.x,15,0.5,-10,0,90,0,1,normal
220,../fence.x,15,0.5,-2,0,90,0,1,normal
221,../fence.x,15,0.5,6,0,90,0,1,normal
222,../fence.x,15,0.5,14,0,90,0,1,normal
223,../fence.x,15,0.5,22,0,90,0,1,normal
224,../fence.x,15,0.5,30,0,90,0,1,normal
