PosX,PosY,PosZ,HP,DropItemId
6.0,0.45,17.5,1,None
7.0,0.45,17.5,1,None
8.0,0.45,17.5,1,None
9.0,0.45,17.5,1,None
10.0,0.45,17.5,1,None
11.0,0.45,17.5,1,None
12.0,0.45,17.5,1,None
13.0,0.45,17.5,1,None
6.0,1.45,17.5,1,None
7.0,1.45,17.5,1,None
8.0,1.45,17.5,1,None
9.0,1.45,17.5,1,None
10.0,1.45,17.5,1,None
11.0,1.45,17.5,1,None
12.0,1.45,17.5,1,None
13.0,1.45,17.5,1,None
6.0,0.45,18.5,1,None
7.0,0.45,18.5,1,None
8.0,0.45,18.5,1,None
9.0,0.45,18.5,1,None
10.0,0.45,18.5,1,None
11.0,0.45,18.5,1,None
12.0,0.45,18.5,1,None
13.0,0.45,18.5,1,None
6.0,1.45,18.5,1,None
7.0,1.45,18.5,1,None
8.0,1.45,18.5,1,None
9.0,1.45,18.5,1,None
10.0,1.45,18.5,1,None
11.0,1.45,18.5,1,None
12.0,1.45,18.5,1,None
13.0,1.45,18.5,1,None
-12.0,0.45,13.5,1,None
-11.0,0.45,13.5,1,None
-10.0,0.45,13.5,1,None
-9.0,0.45,13.5,1,None
-8.0,0.45,13.5,1,None
-12.0,1.45,13.5,1,None
-11.0,1.45,13.5,1,None
-10.0,1.45,13.5,1,None
-9.0,1.45,13.5,1,None
-8.0,1.45,13.5,1,None
-12.0,0.45,14.5,1,None
-11.0,0.45,14.5,1,None
-10.0,0.45,14.5,1,None
-9.0,0.45,14.5,1,None
-8.0,0.45,14.5,1,None
-12.0,1.45,14.5,1,None
-11.0,1.45,14.5,1,None
-10.0,1.45,14.5,1,None
-9.0,1.45,14.5,1,None
-8.0,1.45,14.5,1,None
-4.0,0.45,-24.0,1,None
-3.0,0.45,-24.0,1,None
-2.0,0.45,-24.0,1,None
-1.0,0.45,-24.0,1,None
0.0,0.45,-24.0,1,None
1.0,0.45,-24.0,1,None
2.0,0.45,-24.0,1,None
3.0,0.45,-24.0,1,None
-4.0,1.45,-24.0,1,None
-3.0,1.45,-24.0,1,None
-2.0,1.45,-24.0,1,None
-1.0,1.45,-24.0,1,None
0.0,1.45,-24.0,1,None
1.0,1.45,-24.0,1,None
2.0,1.45,-24.0,1,None
3.0,1.45,-24.0,1,None
-4.0,0.45,-23.0,1,None
-3.0,0.45,-23.0,1,None
-2.0,0.45,-23.0,1,None
-1.0,0.45,-23.0,1,None
0.0,0.45,-23.0,1,None
1.0,0.45,-23.0,1,None
2.0,0.45,-23.0,1,None
3.0,0.45,-23.0,1,None
-4.0,1.45,-23.0,1,None
-3.0,1.45,-23.0,1,None
-2.0,1.45,-23.0,1,None
-1.0,1.45,-23.0,1,None
0.0,1.45,-23.0,1,None
1.0,1.45,-23.0,1,None
2.0,1.45,-23.0,1,None
3.0,1.45,-23.0,1,None
