ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
2,../plateField.x,0,0,0,0,0,0,1,normal
1403,../collision_wall.x,-12.5,1.5,7,0,1.5708,0,1,normal
1404,../collision_wall.x,12.5,1.5,5,0,0,0,1,normal
1405,../collision_wall.x,-5,1.5,1.5,0,1.5708,0,1,normal
1406,../collision_wall.x,5,1.5,-1.5,0,1.5708,0,1,normal
1407,../collision_wall.x,-10.5,1.5,-4,0,0,0,1,normal
1408,../collision_wall.x,10.5,1.5,-6,0,1.5708,0,1,normal
1409,../collision_wall.x,-2.5,1.5,9,0,1.5708,0,1,normal
1410,../collision_wall.x,3.5,1.5,-9,0,0,0,1,normal
1411,../collision_moving_platform.x,-10.5,0.8,7,0,0,0,1,normal
1412,../collision_moving_platform.x,-3,0.8,5.5,0,0,0,1,normal
1413,../collision_moving_platform.x,-1.5,0.8,-1,0,0,0,1,normal
1414,../collision_moving_platform.x,1.5,0.8,1,0,0,0,1,normal
1415,../collision_moving_platform.x,3,0.8,-5.5,0,0,0,1,normal
1416,../collision_moving_platform.x,10.5,0.8,-7,0,0,0,1,normal
1417,../collision_moving_platform.x,-0.5,0.8,10,0,0,0,1,normal
1418,../collision_moving_platform.x,0.5,0.8,-10,0,0,0,1,normal
1419,../cube_white.x,-13.5,1,9,0,0,0,1,normal
1420,../cube_white.x,-4,1,8.5,0,0,0,1,normal
1421,../cube_white.x,-0.5,1,6,0,0,0,1,normal
1422,../cube_white.x,3.5,1,-6,0,0,0,1,normal
1423,../cube_white.x,6,1,-8.5,0,0,0,1,normal
1424,../cube_white.x,13.5,1,-9,0,0,0,1,normal
1426,..\Skydome3D\Skydome.blend.x, 0, 0, 0, 0, 0, 0, 1, normal
