ID,PhysicsID,Damage
stage21-lava-01,4001,20
stage21-lava-02,4002,20
stage21-lava-03,4003,20
stage21-lava-04,4004,20
stage21-lava-05,4005,20
stage21-lava-06,4006,20
stage21-lava-07,4007,20
stage21-lava-08,4008,20
stage21-lava-09,4009,20
stage21-lava-10,4010,20
stage21-lava-11,4011,20
stage21-lava-12,4012,20
stage21-lava-13,4013,20
stage21-lava-14,4014,20
stage21-lava-15,4015,20
stage21-lava-16,4016,20
stage21-lava-17,4017,20
stage21-lava-18,4018,20
stage21-lava-19,4019,20
stage21-lava-20,4020,20
stage21-lava-21,4021,20
stage21-lava-22,4022,20
stage21-lava-23,4023,20
stage21-lava-24,4024,20
stage21-lava-25,4025,20
stage21-lava-26,4026,20
stage21-lava-27,4027,20
stage21-lava-28,4028,20
stage21-lava-29,4029,20
stage21-lava-30,4030,20
stage21-lava-31,4031,20
stage21-lava-32,4032,20
stage21-lava-33,4033,20
stage21-lava-34,4034,20
stage21-lava-35,4035,20
stage21-lava-36,4036,20
stage21-lava-37,4037,20
stage21-lava-38,4038,20
stage21-lava-39,4039,20
stage21-lava-40,4040,20
stage21-lava-41,4041,20
stage21-lava-42,4042,20
stage21-lava-43,4043,20
stage21-lava-44,4044,20
stage21-lava-45,4045,20
stage21-lava-46,4046,20
stage21-lava-47,4047,20
stage21-lava-48,4048,20
stage21-lava-49,4049,20
stage21-lava-50,4050,20
stage21-lava-51,4051,20
stage21-lava-52,4052,20
stage21-lava-53,4053,20
stage21-lava-54,4054,20
stage21-lava-55,4055,20
stage21-lava-56,4056,20
stage21-lava-57,4057,20
stage21-lava-58,4058,20
stage21-lava-59,4059,20
stage21-lava-60,4060,20
