ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,Type,Move,Instancing
1,res/model/cubeNormalInverse.x,0,0,0,0,0,0,1,Collision,n
2,res/model/plateField.x,0,0.01,0,0,0,0,1,Collision,n
703,res/model/collision_wall.x,-11.5,1.5,9,0,0,0,1,Collision,n
704,res/model/collision_wall.x,11.5,1.51,7,0,0,0,1,Collision,n
705,res/model/collision_wall.x,-7,1.52,2.5,0,1.5708,0,1,Collision,n
706,res/model/collision_wall.x,7,1.53,-2.5,0,1.5708,0,1,Collision,n
707,res/model/collision_wall.x,-9.5,1.54,-6,0,0,0,1,Collision,n
708,res/model/collision_wall.x,9.5,1.55,-8,0,0,0,1,Collision,n
709,res/model/collision_wall.x,-3.5,1.56,11,0,1.5708,0,1,Collision,n
710,res/model/collision_wall.x,4.5,1.57,-11,0,0,0,1,Collision,n
713,res/model/collision_moving_platform.x,-2.5,0.82,1,0,0,0,1,Collision,y
714,res/model/collision_moving_platform.x,2.5,0.83,-1,0,0,0,1,Collision,y
719,res/model/cube_white.x,-12.5,1,11,0,0,0,1,Collision,n
720,res/model/cube_white.x,-6,1.01,7.5,0,0,0,1,Collision,n
721,res/model/cube_white.x,-1.5,1.02,4,0,0,0,1,Collision,n
722,res/model/cube_white.x,4.5,1.03,-4,0,0,0,1,Collision,n
723,res/model/cube_white.x,8,1.04,-7.5,0,0,0,1,Collision,n
724,res/model/cube_white.x,12.5,1.05,-11,0,0,0,1,Collision,n
