ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
2,../plateField.x,0,0,0,0,0,0,1,normal
703,../collision_wall.x,-11.5,1.5,9,0,0,0,1,normal
704,../collision_wall.x,11.5,1.5,7,0,0,0,1,normal
705,../collision_wall.x,-7,1.5,2.5,0,1.5708,0,1,normal
706,../collision_wall.x,7,1.5,-2.5,0,1.5708,0,1,normal
707,../collision_wall.x,-9.5,1.5,-6,0,0,0,1,normal
708,../collision_wall.x,9.5,1.5,-8,0,0,0,1,normal
709,../collision_wall.x,-3.5,1.5,11,0,1.5708,0,1,normal
710,../collision_wall.x,4.5,1.5,-11,0,0,0,1,normal
711,../collision_moving_platform.x,-9.5,0.8,9,0,0,0,1,normal
712,../collision_moving_platform.x,-5,0.8,6.5,0,0,0,1,normal
713,../collision_moving_platform.x,-2.5,0.8,1,0,0,0,1,normal
714,../collision_moving_platform.x,2.5,0.8,-1,0,0,0,1,normal
715,../collision_moving_platform.x,5,0.8,-6.5,0,0,0,1,normal
716,../collision_moving_platform.x,9.5,0.8,-9,0,0,0,1,normal
717,../collision_moving_platform.x,0.5,0.8,12,0,0,0,1,normal
718,../collision_moving_platform.x,-0.5,0.8,-12,0,0,0,1,normal
719,../cube_white.x,-12.5,1,11,0,0,0,1,normal
720,../cube_white.x,-6,1,7.5,0,0,0,1,normal
721,../cube_white.x,-1.5,1,4,0,0,0,1,normal
722,../cube_white.x,4.5,1,-4,0,0,0,1,normal
723,../cube_white.x,8,1,-7.5,0,0,0,1,normal
724,../cube_white.x,12.5,1,-11,0,0,0,1,normal
725,../cube_white_big.x,12,10,13,0,0,0,1,normal
